# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-04-22 18:06:03 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15290000 L SUSITNA R NR PALMER AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15290000
#            TS   parameter     statistic     Description
#           783       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=15290000&ts_ids=783]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	783_00060_00003	783_00060_00003_cd
USGS	15290000	1948-10-06	169	A
USGS	15290000	1948-10-07	162	A
USGS	15290000	1948-10-08	160	A
USGS	15290000	1948-10-09	158	A
USGS	15290000	1948-10-10	151	A
USGS	15290000	1948-10-11	147	A
USGS	15290000	1948-10-12	143	A
USGS	15290000	1948-10-13	135	A
USGS	15290000	1948-10-14	127	A
USGS	15290000	1948-10-15	127	A
USGS	15290000	1948-10-16	137	A
USGS	15290000	1948-10-17	135	A
USGS	15290000	1948-10-18	127	A
USGS	15290000	1948-10-19	125	A
USGS	15290000	1948-10-20	120	A
USGS	15290000	1948-10-21	113	A
USGS	15290000	1948-10-22	113	A
USGS	15290000	1948-10-23	107	A
USGS	15290000	1948-10-24	106	A
USGS	15290000	1948-10-25	106	A
USGS	15290000	1948-10-26	104	A
USGS	15290000	1948-10-27	99.0	A
USGS	15290000	1948-10-28	98.0	A
USGS	15290000	1948-10-29	99.0	A
USGS	15290000	1948-10-30	96.0	A
USGS	15290000	1948-10-31	93.0	A
USGS	15290000	1948-11-01	90.0	A
USGS	15290000	1948-11-02	88.0	A
USGS	15290000	1948-11-03	84.0	A
USGS	15290000	1948-11-04	76.0	A
USGS	15290000	1948-11-05	68.0	A
USGS	15290000	1948-11-06	62.0	A
USGS	15290000	1948-11-07	92.0	A
USGS	15290000	1948-11-08	90.0	A
USGS	15290000	1948-11-09	82.0	A
USGS	15290000	1948-11-10	116	A
USGS	15290000	1948-11-11	107	A
USGS	15290000	1948-11-12	90.0	A
USGS	15290000	1948-11-13	66.0	A
USGS	15290000	1948-11-14	50.0	A
USGS	15290000	1948-11-15	45.0	A
USGS	15290000	1948-11-16	39.0	A
USGS	15290000	1948-11-17	41.0	A
USGS	15290000	1948-11-18	38.0	A
USGS	15290000	1948-11-19	39.0	A
USGS	15290000	1948-11-20	44.0	A
USGS	15290000	1948-11-21	41.0	A
USGS	15290000	1948-11-22	38.0	A
USGS	15290000	1948-11-23	40.0	A
USGS	15290000	1948-11-24	40.0	A
USGS	15290000	1948-11-25	39.0	A
USGS	15290000	1948-11-26	36.0	A
USGS	15290000	1948-11-27	35.0	A
USGS	15290000	1948-11-28	36.0	A
USGS	15290000	1948-11-29	41.0	A
USGS	15290000	1948-11-30	46.0	A
USGS	15290000	1948-12-01	45.0	A
USGS	15290000	1948-12-02	45.0	A
USGS	15290000	1948-12-03	45.0	A
USGS	15290000	1948-12-04	45.0	A
USGS	15290000	1948-12-05	45.0	A
USGS	15290000	1948-12-06	45.0	A
USGS	15290000	1948-12-07	45.0	A
USGS	15290000	1948-12-08	45.0	A
USGS	15290000	1948-12-09	45.0	A
USGS	15290000	1948-12-10	45.0	A
USGS	15290000	1948-12-11	47.0	A
USGS	15290000	1948-12-12	47.0	A
USGS	15290000	1948-12-13	47.0	A
USGS	15290000	1948-12-14	47.0	A
USGS	15290000	1948-12-15	47.0	A
USGS	15290000	1948-12-16	47.0	A
USGS	15290000	1948-12-17	47.0	A
USGS	15290000	1948-12-18	47.0	A
USGS	15290000	1948-12-19	47.0	A
USGS	15290000	1948-12-20	47.0	A
USGS	15290000	1948-12-21	40.0	A
USGS	15290000	1948-12-22	40.0	A
USGS	15290000	1948-12-23	40.0	A
USGS	15290000	1948-12-24	40.0	A
USGS	15290000	1948-12-25	40.0	A
USGS	15290000	1948-12-26	40.0	A
USGS	15290000	1948-12-27	40.0	A
USGS	15290000	1948-12-28	40.0	A
USGS	15290000	1948-12-29	40.0	A
USGS	15290000	1948-12-30	40.0	A
USGS	15290000	1948-12-31	40.0	A
USGS	15290000	1949-01-01	33.0	A
USGS	15290000	1949-01-02	33.0	A
USGS	15290000	1949-01-03	33.0	A
USGS	15290000	1949-01-04	33.0	A
USGS	15290000	1949-01-05	33.0	A
USGS	15290000	1949-01-06	33.0	A
USGS	15290000	1949-01-07	33.0	A
USGS	15290000	1949-01-08	33.0	A
USGS	15290000	1949-01-09	33.0	A
USGS	15290000	1949-01-10	33.0	A
USGS	15290000	1949-01-11	32.0	A
USGS	15290000	1949-01-12	32.0	A
USGS	15290000	1949-01-13	32.0	A
USGS	15290000	1949-01-14	32.0	A
USGS	15290000	1949-01-15	32.0	A
USGS	15290000	1949-01-16	32.0	A
USGS	15290000	1949-01-17	32.0	A
USGS	15290000	1949-01-18	32.0	A
USGS	15290000	1949-01-19	32.0	A
USGS	15290000	1949-01-20	32.0	A
USGS	15290000	1949-01-21	28.0	A
USGS	15290000	1949-01-22	28.0	A
USGS	15290000	1949-01-23	28.0	A
USGS	15290000	1949-01-24	28.0	A
USGS	15290000	1949-01-25	28.0	A
USGS	15290000	1949-01-26	28.0	A
USGS	15290000	1949-01-27	28.0	A
USGS	15290000	1949-01-28	28.0	A
USGS	15290000	1949-01-29	28.0	A
USGS	15290000	1949-01-30	28.0	A
USGS	15290000	1949-01-31	28.0	A
USGS	15290000	1949-02-01	24.0	A
USGS	15290000	1949-02-02	24.0	A
USGS	15290000	1949-02-03	24.0	A
USGS	15290000	1949-02-04	24.0	A
USGS	15290000	1949-02-05	24.0	A
USGS	15290000	1949-02-06	24.0	A
USGS	15290000	1949-02-07	24.0	A
USGS	15290000	1949-02-08	24.0	A
USGS	15290000	1949-02-09	24.0	A
USGS	15290000	1949-02-10	24.0	A
USGS	15290000	1949-02-11	21.0	A
USGS	15290000	1949-02-12	21.0	A
USGS	15290000	1949-02-13	21.0	A
USGS	15290000	1949-02-14	21.0	A
USGS	15290000	1949-02-15	21.0	A
USGS	15290000	1949-02-16	21.0	A
USGS	15290000	1949-02-17	21.0	A
USGS	15290000	1949-02-18	21.0	A
USGS	15290000	1949-02-19	21.0	A
USGS	15290000	1949-02-20	21.0	A
USGS	15290000	1949-02-21	16.0	A
USGS	15290000	1949-02-22	17.0	A
USGS	15290000	1949-02-23	18.0	A
USGS	15290000	1949-02-24	19.0	A
USGS	15290000	1949-02-25	20.0	A
USGS	15290000	1949-02-26	22.0	A
USGS	15290000	1949-02-27	23.0	A
USGS	15290000	1949-02-28	23.0	A
USGS	15290000	1949-03-01	23.0	A
USGS	15290000	1949-03-02	24.0	A
USGS	15290000	1949-03-03	24.0	A
USGS	15290000	1949-03-04	23.0	A
USGS	15290000	1949-03-05	25.0	A
USGS	15290000	1949-03-06	25.0	A
USGS	15290000	1949-03-07	25.0	A
USGS	15290000	1949-03-08	24.0	A
USGS	15290000	1949-03-09	23.0	A
USGS	15290000	1949-03-10	23.0	A
USGS	15290000	1949-03-11	22.0	A
USGS	15290000	1949-03-12	20.0	A
USGS	15290000	1949-03-13	19.0	A
USGS	15290000	1949-03-14	19.0	A
USGS	15290000	1949-03-15	18.0	A
USGS	15290000	1949-03-16	18.0	A
USGS	15290000	1949-03-17	18.0	A
USGS	15290000	1949-03-18	18.0	A
USGS	15290000	1949-03-19	18.0	A
USGS	15290000	1949-03-20	19.0	A
USGS	15290000	1949-03-21	19.0	A
USGS	15290000	1949-03-22	19.0	A
USGS	15290000	1949-03-23	19.0	A
USGS	15290000	1949-03-24	19.0	A
USGS	15290000	1949-03-25	18.0	A
USGS	15290000	1949-03-26	18.0	A
USGS	15290000	1949-03-27	18.0	A
USGS	15290000	1949-03-28	18.0	A
USGS	15290000	1949-03-29	18.0	A
USGS	15290000	1949-03-30	19.0	A
USGS	15290000	1949-03-31	19.0	A
USGS	15290000	1949-04-01	19.0	A
USGS	15290000	1949-04-02	19.0	A
USGS	15290000	1949-04-03	18.0	A
USGS	15290000	1949-04-04	16.0	A
USGS	15290000	1949-04-05	18.0	A
USGS	15290000	1949-04-06	20.0	A
USGS	15290000	1949-04-07	18.0	A
USGS	15290000	1949-04-08	16.0	A
USGS	15290000	1949-04-09	18.0	A
USGS	15290000	1949-04-10	19.0	A
USGS	15290000	1949-04-11	21.0	A
USGS	15290000	1949-04-12	23.0	A
USGS	15290000	1949-04-13	25.0	A
USGS	15290000	1949-04-14	25.0	A
USGS	15290000	1949-04-15	25.0	A
USGS	15290000	1949-04-16	25.0	A
USGS	15290000	1949-04-17	25.0	A
USGS	15290000	1949-04-18	26.0	A
USGS	15290000	1949-04-19	27.0	A
USGS	15290000	1949-04-20	28.0	A
USGS	15290000	1949-04-21	29.0	A
USGS	15290000	1949-04-22	29.0	A
USGS	15290000	1949-04-23	28.0	A
USGS	15290000	1949-04-24	28.0	A
USGS	15290000	1949-04-25	28.0	A
USGS	15290000	1949-04-26	28.0	A
USGS	15290000	1949-04-27	27.0	A
USGS	15290000	1949-04-28	26.0	A
USGS	15290000	1949-04-29	26.0	A
USGS	15290000	1949-04-30	26.0	A
USGS	15290000	1949-05-01	27.0	A
USGS	15290000	1949-05-02	27.0	A
USGS	15290000	1949-05-03	27.0	A
USGS	15290000	1949-05-04	28.0	A
USGS	15290000	1949-05-05	29.0	A
USGS	15290000	1949-05-06	30.0	A
USGS	15290000	1949-05-07	34.0	A
USGS	15290000	1949-05-08	37.0	A
USGS	15290000	1949-05-09	40.0	A
USGS	15290000	1949-05-10	44.0	A
USGS	15290000	1949-05-11	50.0	A
USGS	15290000	1949-05-12	54.0	A
USGS	15290000	1949-05-13	55.0	A
USGS	15290000	1949-05-14	67.0	A
USGS	15290000	1949-05-15	87.0	A
USGS	15290000	1949-05-16	96.0	A
USGS	15290000	1949-05-17	93.0	A
USGS	15290000	1949-05-18	114	A
USGS	15290000	1949-05-19	167	A
USGS	15290000	1949-05-20	239	A
USGS	15290000	1949-05-21	311	A
USGS	15290000	1949-05-22	420	A
USGS	15290000	1949-05-23	567	A
USGS	15290000	1949-05-24	544	A
USGS	15290000	1949-05-25	615	A
USGS	15290000	1949-05-26	845	A
USGS	15290000	1949-05-27	1010	A
USGS	15290000	1949-05-28	1050	A
USGS	15290000	1949-05-29	1100	A
USGS	15290000	1949-05-30	1000	A
USGS	15290000	1949-05-31	950	A
USGS	15290000	1949-06-01	950	A
USGS	15290000	1949-06-02	920	A
USGS	15290000	1949-06-03	880	A
USGS	15290000	1949-06-04	820	A
USGS	15290000	1949-06-05	1000	A
USGS	15290000	1949-06-06	1190	A
USGS	15290000	1949-06-07	1150	A
USGS	15290000	1949-06-08	1010	A
USGS	15290000	1949-06-09	1110	A
USGS	15290000	1949-06-10	1220	A
USGS	15290000	1949-06-11	1110	A
USGS	15290000	1949-06-12	880	A
USGS	15290000	1949-06-13	859	A
USGS	15290000	1949-06-14	880	A
USGS	15290000	1949-06-15	1030	A
USGS	15290000	1949-06-16	1110	A
USGS	15290000	1949-06-17	966	A
USGS	15290000	1949-06-18	1170	A
USGS	15290000	1949-06-19	1210	A
USGS	15290000	1949-06-20	1680	A
USGS	15290000	1949-06-21	2810	A
USGS	15290000	1949-06-22	2520	A
USGS	15290000	1949-06-23	2050	A
USGS	15290000	1949-06-24	1470	A
USGS	15290000	1949-06-25	1170	A
USGS	15290000	1949-06-26	950	A
USGS	15290000	1949-06-27	852	A
USGS	15290000	1949-06-28	908	A
USGS	15290000	1949-06-29	761	A
USGS	15290000	1949-06-30	657	A
USGS	15290000	1949-07-01	615	A
USGS	15290000	1949-07-02	651	A
USGS	15290000	1949-07-03	708	A
USGS	15290000	1949-07-04	995	A
USGS	15290000	1949-07-05	1240	A
USGS	15290000	1949-07-06	1320	A
USGS	15290000	1949-07-07	1410	A
USGS	15290000	1949-07-08	1350	A
USGS	15290000	1949-07-09	1380	A
USGS	15290000	1949-07-10	1360	A
USGS	15290000	1949-07-11	1370	A
USGS	15290000	1949-07-12	1300	A
USGS	15290000	1949-07-13	1200	A
USGS	15290000	1949-07-14	1000	A
USGS	15290000	1949-07-15	960	A
USGS	15290000	1949-07-16	920	A
USGS	15290000	1949-07-17	890	A
USGS	15290000	1949-07-18	860	A
USGS	15290000	1949-07-19	840	A
USGS	15290000	1949-07-20	790	A
USGS	15290000	1949-07-21	747	A
USGS	15290000	1949-07-22	754	A
USGS	15290000	1949-07-23	803	A
USGS	15290000	1949-07-24	694	A
USGS	15290000	1949-07-25	675	A
USGS	15290000	1949-07-26	675	A
USGS	15290000	1949-07-27	615	A
USGS	15290000	1949-07-28	645	A
USGS	15290000	1949-07-29	727	A
USGS	15290000	1949-07-30	859	A
USGS	15290000	1949-07-31	796	A
USGS	15290000	1949-08-01	701	A
USGS	15290000	1949-08-02	651	A
USGS	15290000	1949-08-03	609	A
USGS	15290000	1949-08-04	597	A
USGS	15290000	1949-08-05	682	A
USGS	15290000	1949-08-06	1590	A
USGS	15290000	1949-08-07	1100	A
USGS	15290000	1949-08-08	1170	A
USGS	15290000	1949-08-09	894	A
USGS	15290000	1949-08-10	789	A
USGS	15290000	1949-08-11	1100	A
USGS	15290000	1949-08-12	1320	A
USGS	15290000	1949-08-13	990	A
USGS	15290000	1949-08-14	796	A
USGS	15290000	1949-08-15	663	A
USGS	15290000	1949-08-16	603	A
USGS	15290000	1949-08-17	544	A
USGS	15290000	1949-08-18	484	A
USGS	15290000	1949-08-19	445	A
USGS	15290000	1949-08-20	425	A
USGS	15290000	1949-08-21	462	A
USGS	15290000	1949-08-22	633	A
USGS	15290000	1949-08-23	511	A
USGS	15290000	1949-08-24	430	A
USGS	15290000	1949-08-25	410	A
USGS	15290000	1949-08-26	390	A
USGS	15290000	1949-08-27	410	A
USGS	15290000	1949-08-28	420	A
USGS	15290000	1949-08-29	430	A
USGS	15290000	1949-08-30	430	A
USGS	15290000	1949-08-31	420	A
USGS	15290000	1949-09-01	400	A
USGS	15290000	1949-09-02	360	A
USGS	15290000	1949-09-03	350	A
USGS	15290000	1949-09-04	400	A
USGS	15290000	1949-09-05	360	A
USGS	15290000	1949-09-06	450	A
USGS	15290000	1949-09-07	520	A
USGS	15290000	1949-09-08	400	A
USGS	15290000	1949-09-09	330	A
USGS	15290000	1949-09-10	300	A
USGS	15290000	1949-09-11	280	A
USGS	15290000	1949-09-12	270	A
USGS	15290000	1949-09-13	260	A
USGS	15290000	1949-09-14	300	A
USGS	15290000	1949-09-15	340	A
USGS	15290000	1949-09-16	290	A
USGS	15290000	1949-09-17	240	A
USGS	15290000	1949-09-18	190	A
USGS	15290000	1949-09-19	160	A
USGS	15290000	1949-09-20	150	A
USGS	15290000	1949-09-21	170	A
USGS	15290000	1949-09-22	162	A
USGS	15290000	1949-09-23	154	A
USGS	15290000	1949-09-24	176	A
USGS	15290000	1949-09-25	545	A
USGS	15290000	1949-09-26	445	A
USGS	15290000	1949-09-27	528	A
USGS	15290000	1949-09-28	430	A
USGS	15290000	1949-09-29	364	A
USGS	15290000	1949-09-30	319	A
USGS	15290000	1949-10-01	280	A
USGS	15290000	1949-10-02	265	A
USGS	15290000	1949-10-03	247	A
USGS	15290000	1949-10-04	230	A
USGS	15290000	1949-10-05	206	A
USGS	15290000	1949-10-06	191	A
USGS	15290000	1949-10-07	188	A
USGS	15290000	1949-10-08	186	A
USGS	15290000	1949-10-09	169	A
USGS	15290000	1949-10-10	162	A
USGS	15290000	1949-10-11	137	A
USGS	15290000	1949-10-12	130	A
USGS	15290000	1949-10-13	130	A
USGS	15290000	1949-10-14	129	A
USGS	15290000	1949-10-15	122	A
USGS	15290000	1949-10-16	114	A
USGS	15290000	1949-10-17	118	A
USGS	15290000	1949-10-18	111	A
USGS	15290000	1949-10-19	109	A
USGS	15290000	1949-10-20	106	A
USGS	15290000	1949-10-21	90.0	A
USGS	15290000	1949-10-22	77.0	A
USGS	15290000	1949-10-23	76.0	A
USGS	15290000	1949-10-24	81.0	A
USGS	15290000	1949-10-25	89.0	A
USGS	15290000	1949-10-26	100	A
USGS	15290000	1949-10-27	78.0	A
USGS	15290000	1949-10-28	66.0	A
USGS	15290000	1949-10-29	61.0	A
USGS	15290000	1949-10-30	65.0	A
USGS	15290000	1949-10-31	58.0	A
USGS	15290000	1949-11-01	56.0	A
USGS	15290000	1949-11-02	56.0	A
USGS	15290000	1949-11-03	56.0	A
USGS	15290000	1949-11-04	56.0	A
USGS	15290000	1949-11-05	56.0	A
USGS	15290000	1949-11-06	56.0	A
USGS	15290000	1949-11-07	56.0	A
USGS	15290000	1949-11-08	43.0	A
USGS	15290000	1949-11-09	50.0	A
USGS	15290000	1949-11-10	50.0	A
USGS	15290000	1949-11-11	50.0	A
USGS	15290000	1949-11-12	50.0	A
USGS	15290000	1949-11-13	50.0	A
USGS	15290000	1949-11-14	50.0	A
USGS	15290000	1949-11-15	50.0	A
USGS	15290000	1949-11-16	50.0	A
USGS	15290000	1949-11-17	50.0	A
USGS	15290000	1949-11-18	50.0	A
USGS	15290000	1949-11-19	50.0	A
USGS	15290000	1949-11-20	50.0	A
USGS	15290000	1949-11-21	49.0	A
USGS	15290000	1949-11-22	49.0	A
USGS	15290000	1949-11-23	49.0	A
USGS	15290000	1949-11-24	49.0	A
USGS	15290000	1949-11-25	49.0	A
USGS	15290000	1949-11-26	49.0	A
USGS	15290000	1949-11-27	49.0	A
USGS	15290000	1949-11-28	49.0	A
USGS	15290000	1949-11-29	49.0	A
USGS	15290000	1949-11-30	49.0	A
USGS	15290000	1949-12-01	37.0	A
USGS	15290000	1949-12-02	37.0	A
USGS	15290000	1949-12-03	37.0	A
USGS	15290000	1949-12-04	37.0	A
USGS	15290000	1949-12-05	37.0	A
USGS	15290000	1949-12-06	37.0	A
USGS	15290000	1949-12-07	37.0	A
USGS	15290000	1949-12-08	37.0	A
USGS	15290000	1949-12-09	37.0	A
USGS	15290000	1949-12-10	37.0	A
USGS	15290000	1949-12-11	37.0	A
USGS	15290000	1949-12-12	37.0	A
USGS	15290000	1949-12-13	37.0	A
USGS	15290000	1949-12-14	37.0	A
USGS	15290000	1949-12-15	37.0	A
USGS	15290000	1949-12-16	25.0	A
USGS	15290000	1949-12-17	25.0	A
USGS	15290000	1949-12-18	25.0	A
USGS	15290000	1949-12-19	25.0	A
USGS	15290000	1949-12-20	25.0	A
USGS	15290000	1949-12-21	25.0	A
USGS	15290000	1949-12-22	25.0	A
USGS	15290000	1949-12-23	25.0	A
USGS	15290000	1949-12-24	25.0	A
USGS	15290000	1949-12-25	25.0	A
USGS	15290000	1949-12-26	25.0	A
USGS	15290000	1949-12-27	25.0	A
USGS	15290000	1949-12-28	25.0	A
USGS	15290000	1949-12-29	25.0	A
USGS	15290000	1949-12-30	25.0	A
USGS	15290000	1949-12-31	25.0	A
USGS	15290000	1950-01-01	25.0	A
USGS	15290000	1950-01-02	25.0	A
USGS	15290000	1950-01-03	25.0	A
USGS	15290000	1950-01-04	25.0	A
USGS	15290000	1950-01-05	25.0	A
USGS	15290000	1950-01-06	25.0	A
USGS	15290000	1950-01-07	25.0	A
USGS	15290000	1950-01-08	25.0	A
USGS	15290000	1950-01-09	25.0	A
USGS	15290000	1950-01-10	25.0	A
USGS	15290000	1950-01-11	25.0	A
USGS	15290000	1950-01-12	25.0	A
USGS	15290000	1950-01-13	25.0	A
USGS	15290000	1950-01-14	25.0	A
USGS	15290000	1950-01-15	25.0	A
USGS	15290000	1950-01-16	25.0	A
USGS	15290000	1950-01-17	25.0	A
USGS	15290000	1950-01-18	25.0	A
USGS	15290000	1950-01-19	25.0	A
USGS	15290000	1950-01-20	25.0	A
USGS	15290000	1950-01-21	25.0	A
USGS	15290000	1950-01-22	25.0	A
USGS	15290000	1950-01-23	25.0	A
USGS	15290000	1950-01-24	25.0	A
USGS	15290000	1950-01-25	25.0	A
USGS	15290000	1950-01-26	25.0	A
USGS	15290000	1950-01-27	25.0	A
USGS	15290000	1950-01-28	25.0	A
USGS	15290000	1950-01-29	25.0	A
USGS	15290000	1950-01-30	25.0	A
USGS	15290000	1950-01-31	25.0	A
USGS	15290000	1950-02-01	18.0	A
USGS	15290000	1950-02-02	18.0	A
USGS	15290000	1950-02-03	18.0	A
USGS	15290000	1950-02-04	18.0	A
USGS	15290000	1950-02-05	18.0	A
USGS	15290000	1950-02-06	18.0	A
USGS	15290000	1950-02-07	18.0	A
USGS	15290000	1950-02-08	18.0	A
USGS	15290000	1950-02-09	18.0	A
USGS	15290000	1950-02-10	18.0	A
USGS	15290000	1950-02-11	18.0	A
USGS	15290000	1950-02-12	18.0	A
USGS	15290000	1950-02-13	18.0	A
USGS	15290000	1950-02-14	18.0	A
USGS	15290000	1950-02-15	18.0	A
USGS	15290000	1950-02-16	15.0	A
USGS	15290000	1950-02-17	15.0	A
USGS	15290000	1950-02-18	15.0	A
USGS	15290000	1950-02-19	15.0	A
USGS	15290000	1950-02-20	15.0	A
USGS	15290000	1950-02-21	15.0	A
USGS	15290000	1950-02-22	15.0	A
USGS	15290000	1950-02-23	15.0	A
USGS	15290000	1950-02-24	15.0	A
USGS	15290000	1950-02-25	15.0	A
USGS	15290000	1950-02-26	15.0	A
USGS	15290000	1950-02-27	15.0	A
USGS	15290000	1950-02-28	15.0	A
USGS	15290000	1950-03-01	20.0	A
USGS	15290000	1950-03-02	20.0	A
USGS	15290000	1950-03-03	20.0	A
USGS	15290000	1950-03-04	20.0	A
USGS	15290000	1950-03-05	20.0	A
USGS	15290000	1950-03-06	20.0	A
USGS	15290000	1950-03-07	20.0	A
USGS	15290000	1950-03-08	20.0	A
USGS	15290000	1950-03-09	20.0	A
USGS	15290000	1950-03-10	20.0	A
USGS	15290000	1950-03-11	18.0	A
USGS	15290000	1950-03-12	18.0	A
USGS	15290000	1950-03-13	18.0	A
USGS	15290000	1950-03-14	18.0	A
USGS	15290000	1950-03-15	18.0	A
USGS	15290000	1950-03-16	18.0	A
USGS	15290000	1950-03-17	18.0	A
USGS	15290000	1950-03-18	18.0	A
USGS	15290000	1950-03-19	18.0	A
USGS	15290000	1950-03-20	18.0	A
USGS	15290000	1950-03-21	16.0	A
USGS	15290000	1950-03-22	16.0	A
USGS	15290000	1950-03-23	16.0	A
USGS	15290000	1950-03-24	16.0	A
USGS	15290000	1950-03-25	15.0	A
USGS	15290000	1950-03-26	15.0	A
USGS	15290000	1950-03-27	16.0	A
