"site","seasonal","rms.signal","rms.noise","snr","sigma.hfb","start.date","end.date"
"KISKATINAW RIVER NEAR FARMINGTON",1,0.382231822160755,0.0144573296831053,65.4965151675016,1.10740951192797,"1970-01-01","1992-12-31"
"HEART RIVER NEAR NAMPA",1,0.543209319092355,0.0238401983052991,62.5224314334647,2.29872115899848,"1970-03-15","1992-12-31"
"NOTIKEWIN RIVER AT MANNING",1,0.537680402313002,0.0178539572518544,68.1007831492682,0.978098715550077,"1970-01-01","1992-12-31"
"WABASCA RIVER AT HIGHWAY NO. 88",1,0.171615228058589,0.00652005114738896,65.4074540823476,0.321348468571921,"1970-07-09","1992-12-31"
"PEACE RIVER AT PEACE POINT (ALBERTA)",1,0.0342184946412906,0.0011929691811061,67.12641934416,0.0741966174748901,"1970-01-01","1992-12-31"
"DOUGLAS RIVER NEAR CLUFF LAKE",1,0.0732092723550114,0.00393635063736453,58.4613604908636,0.2457130213936,"1975-08-16","1992-12-31"
"MACFARLANE RIVER AT OUTLET OF DAVY LAKE",1,0.0371431864874127,0.00157772032208849,63.1759875571898,0.0657601560531391,"1970-01-01","1992-12-31"
"SLAVE RIVER AT FITZGERALD (ALBERTA)",1,0.0310728465232237,0.00102282862157874,68.2752477613057,0.0474063824098528,"1970-01-01","1992-12-31"
"HAY RIVER NEAR HAY RIVER",1,0.32043748389655,0.010381192118018,68.5938296110566,0.609221693398498,"1970-01-01","1992-12-31"
"CHINCHAGA RIVER NEAR HIGH LEVEL",1,0.455631419250553,0.0150961172943696,68.1449322724084,0.76763558923347,"1970-01-01","1992-12-31"
"LOCKHART RIVER AT OUTLET OF ARTILLERY LAKE",1,0.0325326693019829,0.00137047710074626,63.3417173161501,0.0512945308221479,"1970-01-01","1992-12-31"
"CAMERON RIVER BELOW REID LAKE",1,0.169636674175099,0.00948404249163181,57.6809658135823,4.70689568955933,"1975-07-18","1992-12-31"
"LA MARTRE RIVER BELOW OUTLET OF LAC LA MARTRE",1,0.0886419476395933,0.00274414499751675,69.5027129019546,0.0861317127809958,"1975-02-21","1992-12-31"
"DEZADEASH RIVER AT HAINES JUNCTION",1,0.132625414618448,0.00357098472872209,72.2937466208727,0.152038239108871,"1970-01-01","1992-12-31"
"TUYA RIVER NEAR TELEGRAPH CREEK",1,0.21268954869286,0.00655596944255965,69.5891516948173,0.249887377014267,"1970-01-01","1992-12-31"
"STIKINE RIVER AT TELEGRAPH CREEK",1,0.164539841913069,0.0040475747431719,74.1006973611354,0.123314478809467,"1970-01-01","1992-12-31"
"ISKUT RIVER BELOW JOHNSON RIVER",1,0.160348968952879,0.00404695612966235,73.5877494103302,0.145781700269594,"1970-01-01","1992-12-31"
"SURPRISE CREEK NEAR THE MOUTH",1,0.440617876543787,0.0111719410823493,73.4954526469288,0.443462816430269,"1970-09-17","1992-12-31"
"KISPIOX RIVER NEAR HAZELTON",1,0.200628863925014,0.00637036185165982,68.9960095913872,0.298643421822073,"1970-01-01","1992-12-31"
"WHEATON RIVER NEAR CARCROSS",1,0.328381467379265,0.00973103002536182,70.3771238308396,0.415290611211142,"1970-01-01","1992-12-31"
"ROSS RIVER AT ROSS RIVER",1,0.247457590087158,0.00708765834307655,71.0576840832756,0.230921917688625,"1970-01-01","1992-12-31"
"PELLY RIVER AT PELLY CROSSING",1,0.150297082164767,0.00425941433101976,71.2696442662758,0.127216666574289,"1970-01-01","1992-12-31"
"PELLY RIVER BELOW VANGORDA CREEK",1,0.183638094422164,0.00558537067962564,69.8563228347264,0.166540852669102,"1972-09-01","1992-12-31"
"STEWART RIVER AT THE MOUTH",1,0.145864588901754,0.00412755669314083,71.2998617175643,0.128461485224238,"1970-01-01","1992-12-31"
"KLONDIKE RIVER ABOVE BONANZA CREEK",1,0.210684158381534,0.006125208848711,70.7589455745161,0.238337615087736,"1970-01-01","1992-12-31"
"NORTH KLONDIKE RIVER NEAR THE MOUTH",1,0.290200142485401,0.00952012665462444,68.3432535733672,0.35757362688251,"1974-06-12","1992-12-31"
"LIARD RIVER AT UPPER CROSSING",1,0.123450101638203,0.00349365715130068,71.2977591438756,0.101145858854425,"1970-01-01","1992-12-31"
"FRANCES RIVER NEAR WATSON LAKE",1,0.166844131377476,0.0046627293899642,71.5491809770872,0.116315505685071,"1970-01-01","1992-12-31"
"COTTONWOOD RIVER ABOVE BASS CREEK",1,0.291465648956512,0.00841307562532106,70.9027007774177,0.290558886399613,"1970-01-01","1992-12-31"
"TOAD RIVER ABOVE NONDA CREEK",1,0.210663855285024,0.0059518383849311,71.3312723226181,0.211405315449987,"1970-01-01","1992-12-31"
"TROUT RIVER AT KILOMETRE 783.7 ALASKA HIGHWAY",1,0.169617657196315,0.00523287483040488,69.5717204188505,0.274192157811772,"1970-10-01","1992-12-31"
"SIKANNI CHIEF RIVER NEAR FORT NELSON",1,0.27397497358062,0.00707748258430225,73.1223697526376,0.311132197595743,"1970-01-01","1992-12-31"
"MUSKWA RIVER NEAR FORT NELSON",1,0.227696228553448,0.00572113191382544,73.6769147371898,0.250967460837866,"1970-01-01","1992-12-31"
"LIARD RIVER NEAR THE MOUTH",1,0.102395008397812,0.00314586597325456,69.6549752768971,0.0944727917174667,"1972-05-27","1992-12-31"
"BIRCH RIVER AT HIGHWAY NO. 7",1,0.65277726276809,0.0292662260383391,62.0960363300562,2.3528825197638,"1974-10-16","1992-12-31"
"JEAN-MARIE RIVER AT HIGHWAY NO. 1",1,0.505782015781848,0.0199642725799455,64.6432294505804,1.32846455860185,"1972-03-26","1992-12-31"
"MACKENZIE RIVER AT FORT SIMPSON",1,0.0628275280826285,0.00156988558616581,73.7878116208528,0.0464882116226931,"1970-01-01","1992-12-31"
"MARTIN RIVER AT HIGHWAY NO. 1",1,0.562898836554217,0.0213299565398423,65.4597486124327,1.35590111831518,"1972-05-31","1992-12-31"
"CAMSELL RIVER AT OUTLET OF CLUT LAKE",1,0.0284286986520655,0.00147573162637235,59.1649053232463,0.0777919005889669,"1970-01-01","1992-12-31"
"ARCTIC RED RIVER NEAR THE MOUTH",1,0.230771850526667,0.00688721124342215,70.2352662707266,0.328154127289284,"1970-01-01","1992-12-31"
"RENGLENG RIVER BELOW HIGHWAY NO. 8 (DEMPSTER HIGHWAY)",1,0.739896621331157,0.0284540461746331,65.1644020905168,2.31803649217827,"1973-02-27","1992-12-31"
"CARIBOU CREEK ABOVE HIGHWAY NO. 8 (DEMPSTER HIGHWAY)",1,0.631347349625642,0.0243650764557995,65.0941074340393,2.12541773081837,"1975-01-01","1992-12-31"
"MACKENZIE RIVER AT ARCTIC RED RIVER",1,0.0542568404905527,0.00170483397712588,69.2052268917761,0.0558267892519549,"1972-03-21","1992-12-31"
"PEEL RIVER ABOVE FORT MCPHERSON",1,0.141683473158093,0.00437330275922937,69.5615400696689,0.208001418624552,"1970-01-01","1992-12-31"
"COPPERMINE RIVER AT OUTLET OF POINT LAKE",1,0.0940111158954889,0.00280794171675507,70.2192259935812,0.095552745598222,"1970-01-01","1992-12-31"
