"station","year","month","variable","value"
"03NE002",2007,9,"snowfall",NA
"03NE002",2007,10,"snowfall",NA
"03NE002",2007,11,"snowfall",NA
"03NE002",2007,12,"snowfall",NA
"03NE002",2008,1,"snowfall",NA
"03NE002",2008,2,"snowfall",NA
"03NE002",2008,3,"snowfall",NA
"03NE002",2008,4,"snowfall",NA
"03NE002",2008,5,"snowfall",NA
"03NE002",2008,6,"snowfall",NA
"03NE002",2008,7,"snowfall",NA
"03NE002",2008,8,"snowfall",NA
"03NE002",2008,9,"snowfall",NA
"03NE002",2008,10,"snowfall",NA
"03NE002",2008,11,"snowfall",NA
"03NE002",2008,12,"snowfall",NA
"03NE002",2009,1,"snowfall",NA
"03NE002",2009,2,"snowfall",NA
"03NE002",2009,3,"snowfall",NA
"03NE002",2009,4,"snowfall",NA
"03NE002",2009,5,"snowfall",NA
"03NE002",2009,6,"snowfall",NA
"03NE002",2009,7,"snowfall",NA
"03NE002",2009,8,"snowfall",NA
"03NE002",2009,9,"snowfall",NA
"03NE002",2009,10,"snowfall",NA
"03NE002",2009,11,"snowfall",NA
"03NE002",2009,12,"snowfall",NA
"03NE002",2010,1,"snowfall",NA
"03NE002",2010,2,"snowfall",NA
"03NE002",2010,3,"snowfall",NA
"03NE002",2010,4,"snowfall",NA
"03NE002",2010,5,"snowfall",NA
"03NE002",2010,6,"snowfall",NA
"03NE002",2010,7,"snowfall",NA
"03NE002",2010,8,"snowfall",NA
"03NE002",2010,9,"snowfall",NA
"03NE002",2010,10,"snowfall",NA
"03NE002",2010,11,"snowfall",NA
"03NE002",2010,12,"snowfall",NA
"03NE002",2011,1,"snowfall",NA
"03NE002",2011,2,"snowfall",NA
"03NE002",2011,3,"snowfall",NA
"03NE002",2011,4,"snowfall",NA
"03NE002",2011,5,"snowfall",NA
"03NE002",2011,6,"snowfall",NA
"03NE002",2011,7,"snowfall",NA
"03NE002",2011,8,"snowfall",NA
"03NE002",2011,9,"snowfall",NA
"03NE002",2011,10,"snowfall",NA
"03NE002",2011,11,"snowfall",NA
"03NE002",2011,12,"snowfall",NA
"03NE002",2012,1,"snowfall",NA
"03NE002",2012,2,"snowfall",NA
"03NE002",2012,3,"snowfall",NA
"03NE002",2012,4,"snowfall",NA
"03NE002",2012,5,"snowfall",NA
"03NE002",2012,6,"snowfall",NA
"03NE002",2012,7,"snowfall",NA
"03NE002",2012,8,"snowfall",NA
"03NE002",2012,9,"snowfall",NA
"03NE002",2012,10,"snowfall",NA
"03NE002",2012,11,"snowfall",NA
"03NE002",2012,12,"snowfall",NA
"03NE002",2013,1,"snowfall",NA
"03NE002",2013,2,"snowfall",NA
"03NE002",2013,3,"snowfall",NA
"03NE002",2013,4,"snowfall",NA
"03NE002",2013,5,"snowfall",NA
"03NE002",2013,6,"snowfall",NA
"03NE002",2013,7,"snowfall",NA
"03NE002",2013,8,"snowfall",NA
"03NE002",2013,9,"snowfall",NA
"03NE002",2013,10,"snowfall",NA
"03NE002",2013,11,"snowfall",NA
"03NE002",2013,12,"snowfall",NA
"03NE002",2014,1,"snowfall",NA
"03NE002",2014,2,"snowfall",NA
"03NE002",2014,3,"snowfall",NA
"03NE002",2014,4,"snowfall",NA
"03NE002",2014,5,"snowfall",NA
"03NE002",2014,6,"snowfall",NA
"03NE002",2014,7,"snowfall",NA
"03NE002",2014,8,"snowfall",NA
"03NE002",2014,9,"snowfall",NA
"03NE002",2014,10,"snowfall",NA
"03NE002",2014,11,"snowfall",NA
"03NE002",2014,12,"snowfall",NA
"03NE002",2015,1,"snowfall",NA
"03NE002",2015,2,"snowfall",NA
"03NE002",2015,3,"snowfall",NA
"03NE002",2015,4,"snowfall",NA
"03NE002",2015,5,"snowfall",NA
"03NE002",2015,6,"snowfall",NA
"03NE002",2015,7,"snowfall",NA
"03NE002",2015,8,"snowfall",NA
"03NE002",2015,9,"snowfall",NA
"03NE002",2015,10,"snowfall",NA
"03NE002",2015,11,"snowfall",NA
"03NE002",2015,12,"snowfall",NA
"03NE002",2016,1,"snowfall",NA
"03NE002",2016,2,"snowfall",NA
"03NE002",2016,3,"snowfall",NA
"03NE002",2016,4,"snowfall",NA
"03NE002",2016,5,"snowfall",NA
"03NE002",2016,6,"snowfall",NA
"03NE002",2016,7,"snowfall",NA
"03NE002",2016,8,"snowfall",NA
"03NE002",2016,9,"snowfall",NA
"03NE002",2016,10,"snowfall",NA
"03NE002",2016,11,"snowfall",NA
"03NE002",2016,12,"snowfall",NA
"03NE002",2017,1,"snowfall",NA
"03NE002",2017,2,"snowfall",NA
"03NE002",2017,3,"snowfall",NA
"03NE002",2017,4,"snowfall",NA
"03NE002",2017,5,"snowfall",NA
"03NE002",2017,6,"snowfall",NA
"03NE002",2017,7,"snowfall",NA
"03NE002",2017,8,"snowfall",NA
"03NE002",2017,9,"snowfall",NA
"03NE002",2017,10,"snowfall",NA
"03NE002",2017,11,"snowfall",NA
"03NE002",2017,12,"snowfall",NA
"03NE002",2018,1,"snowfall",NA
"03NE002",2018,2,"snowfall",NA
"03NE002",2018,3,"snowfall",NA
"03NE002",2018,4,"snowfall",NA
"03NE002",2018,5,"snowfall",NA
"03NE002",2018,6,"snowfall",NA
"03NE002",2018,7,"snowfall",NA
"03NE002",2018,8,"snowfall",NA
"03NE002",2018,9,"snowfall",NA
"03NE002",2018,10,"snowfall",NA
"03NE002",2018,11,"snowfall",NA
"03NE002",2018,12,"snowfall",NA
"03NE002",2019,1,"snowfall",NA
"03NE002",2019,2,"snowfall",NA
"03NE002",2019,3,"snowfall",NA
"03NE002",2019,4,"snowfall",NA
"03NE002",2019,5,"snowfall",NA
"03NE002",2019,6,"snowfall",NA
"03NE002",2019,7,"snowfall",NA
"03NE002",2019,8,"snowfall",NA
"03NE002",2019,9,"snowfall",NA
"03NE002",2019,10,"snowfall",NA
"03NE002",2019,11,"snowfall",NA
"03NE002",2019,12,"snowfall",NA
"03NE002",2020,1,"snowfall",NA
"03NE002",2020,2,"snowfall",NA
"03NE002",2020,3,"snowfall",NA
"03NE002",2020,4,"snowfall",NA
"03NE002",2020,5,"snowfall",NA
"03NE002",2020,6,"snowfall",NA
"03NE002",2020,7,"snowfall",NA
"03NE002",2020,8,"snowfall",NA
"03NE002",2020,9,"snowfall",NA
"03NE002",2020,10,"snowfall",NA
"03NE002",2020,11,"snowfall",NA
"03NE002",2020,12,"snowfall",NA
"03NE002",2021,1,"snowfall",NA
"03NE002",2021,2,"snowfall",NA
"03NE002",2021,3,"snowfall",NA
"03NE002",2021,4,"snowfall",NA
"03NE002",2021,5,"snowfall",NA
"03NE002",2021,6,"snowfall",NA
"03NE002",2021,7,"snowfall",NA
"03NE002",2021,8,"snowfall",NA
"03NE002",2021,9,"snowfall",NA
"03NE002",2021,10,"snowfall",NA
"03NE002",2021,11,"snowfall",NA
"03NE002",2021,12,"snowfall",NA
"03NE002",2022,1,"snowfall",NA
"03NE002",2022,2,"snowfall",NA
"03NE002",2022,3,"snowfall",NA
"03NE002",2022,4,"snowfall",NA
"03NE002",2022,5,"snowfall",NA
"03NE002",2022,6,"snowfall",NA
"03NE002",2022,7,"snowfall",NA
"03NE002",2022,8,"snowfall",NA
"03NE002",2022,9,"snowfall",NA
"03NE002",2022,10,"snowfall",NA
"03NE002",2022,11,"snowfall",NA
"03NE002",2022,12,"snowfall",NA
"03NE002",2023,1,"snowfall",NA
"03NE002",2023,2,"snowfall",NA
"03NE002",2023,3,"snowfall",NA
"03NE002",2023,4,"snowfall",NA
"03NE002",2023,5,"snowfall",NA
"03NE002",2023,6,"snowfall",NA
"03NE002",2023,7,"snowfall",NA
"03NE002",2023,8,"snowfall",NA
"03NE002",2023,9,"snowfall",NA
"03NE002",2023,10,"snowfall",NA
"03NE002",2023,11,"snowfall",NA
"03NE002",2023,12,"snowfall",NA
"03NE002",2024,1,"snowfall",NA
"03NE002",2024,2,"snowfall",NA
"03NE002",2024,3,"snowfall",NA
"03NE002",2024,4,"snowfall",NA
"03NE002",2024,5,"snowfall",NA
"03NE002",2024,6,"snowfall",NA
"03NE002",2024,7,"snowfall",NA
"03NE002",2024,8,"snowfall",NA
"03NE002",2024,9,"snowfall",NA
"03NE002",2024,10,"snowfall",NA
"03NE002",2024,11,"snowfall",NA
"03NE002",2024,12,"snowfall",NA
"03NE011",1999,1,"snowfall",NA
"03NE011",1999,2,"snowfall",NA
"03NE011",1999,3,"snowfall",NA
"03NE011",1999,4,"snowfall",NA
"03NE011",1999,5,"snowfall",NA
"03NE011",1999,6,"snowfall",NA
"03NE011",1999,7,"snowfall",NA
"03NE011",1999,8,"snowfall",NA
"03NE011",1999,9,"snowfall",NA
"03NE011",1999,10,"snowfall",NA
"03NE011",1999,11,"snowfall",NA
"03NE011",1999,12,"snowfall",NA
"03NE011",2000,1,"snowfall",NA
"03NE011",2000,2,"snowfall",NA
"03NE011",2000,3,"snowfall",NA
"03NE011",2000,4,"snowfall",NA
"03NE011",2000,5,"snowfall",NA
"03NE011",2000,6,"snowfall",NA
"03NE011",2000,7,"snowfall",NA
"03NE011",2000,8,"snowfall",NA
"03NE011",2000,9,"snowfall",NA
"03NE011",2000,10,"snowfall",NA
"03NE011",2000,11,"snowfall",NA
"03NE011",2000,12,"snowfall",NA
"03NE011",2001,1,"snowfall",NA
"03NE011",2001,2,"snowfall",NA
"03NE011",2001,3,"snowfall",NA
"03NE011",2001,4,"snowfall",NA
"03NE011",2001,5,"snowfall",NA
"03NE011",2001,6,"snowfall",NA
"03NE011",2001,7,"snowfall",NA
"03NE011",2001,8,"snowfall",NA
"03NE011",2001,9,"snowfall",NA
"03NE011",2001,10,"snowfall",NA
"03NE011",2001,11,"snowfall",NA
"03NE011",2001,12,"snowfall",NA
"03NE011",2002,1,"snowfall",NA
"03NE011",2002,2,"snowfall",NA
"03NE011",2002,3,"snowfall",NA
"03NE011",2002,4,"snowfall",NA
"03NE011",2002,5,"snowfall",NA
"03NE011",2002,6,"snowfall",NA
"03NE011",2002,7,"snowfall",NA
"03NE011",2002,8,"snowfall",NA
"03NE011",2002,9,"snowfall",NA
"03NE011",2002,10,"snowfall",NA
"03NE011",2002,11,"snowfall",NA
"03NE011",2002,12,"snowfall",NA
"03NE011",2003,1,"snowfall",NA
"03NE011",2003,2,"snowfall",NA
"03NE011",2003,3,"snowfall",NA
"03NE011",2003,4,"snowfall",NA
"03NE011",2003,5,"snowfall",NA
"03NE011",2003,6,"snowfall",NA
"03NE011",2003,7,"snowfall",NA
"03NE011",2003,8,"snowfall",NA
"03NE011",2003,9,"snowfall",NA
"03NE011",2003,10,"snowfall",NA
"03NE011",2003,11,"snowfall",NA
"03NE011",2003,12,"snowfall",NA
"03NE011",2004,1,"snowfall",NA
"03NE011",2004,2,"snowfall",NA
"03NE011",2004,3,"snowfall",NA
"03NE011",2004,4,"snowfall",NA
"03NE011",2004,5,"snowfall",NA
"03NE011",2004,6,"snowfall",NA
"03NE011",2004,7,"snowfall",NA
"03NE011",2004,8,"snowfall",NA
"03NE011",2004,9,"snowfall",NA
"03NE011",2004,10,"snowfall",NA
"03NE011",2004,11,"snowfall",NA
"03NE011",2004,12,"snowfall",NA
"03NE011",2005,1,"snowfall",NA
"03NE011",2005,2,"snowfall",NA
"03NE011",2005,3,"snowfall",NA
"03NE011",2005,4,"snowfall",NA
"03NE011",2005,5,"snowfall",NA
"03NE011",2005,6,"snowfall",NA
"03NE011",2005,7,"snowfall",NA
"03NE011",2005,8,"snowfall",NA
"03NE011",2005,9,"snowfall",NA
"03NE011",2005,10,"snowfall",NA
"03NE011",2005,11,"snowfall",NA
"03NE011",2005,12,"snowfall",NA
"03NE011",2006,1,"snowfall",NA
"03NE011",2006,2,"snowfall",NA
"03NE011",2006,3,"snowfall",NA
"03NE011",2006,4,"snowfall",NA
"03NE011",2006,5,"snowfall",NA
"03NE011",2006,6,"snowfall",NA
"03NE011",2006,7,"snowfall",NA
"03NE011",2006,8,"snowfall",NA
"03NE011",2006,9,"snowfall",NA
"03NE011",2006,10,"snowfall",NA
"03NE011",2006,11,"snowfall",NA
"03NE011",2006,12,"snowfall",NA
"03NE011",2007,1,"snowfall",NA
"03NE011",2007,2,"snowfall",NA
"03NE011",2007,3,"snowfall",NA
"03NE011",2007,4,"snowfall",NA
"03NE011",2007,5,"snowfall",NA
"03NE011",2007,6,"snowfall",NA
"03NE011",2007,7,"snowfall",NA
"03NE011",2007,8,"snowfall",NA
"03NE011",2007,9,"snowfall",NA
"03NE011",2007,10,"snowfall",NA
"03NE011",2007,11,"snowfall",NA
"03NE011",2007,12,"snowfall",NA
"03NE011",2008,1,"snowfall",NA
"03NE011",2008,2,"snowfall",NA
"03NE011",2008,3,"snowfall",NA
"03NE011",2008,4,"snowfall",NA
"03NE011",2008,5,"snowfall",NA
"03NE011",2008,6,"snowfall",NA
"03NE011",2008,7,"snowfall",NA
"03NE011",2008,8,"snowfall",NA
"03NE011",2008,9,"snowfall",NA
"03NE011",2008,10,"snowfall",NA
"03NE011",2008,11,"snowfall",NA
"03NE011",2008,12,"snowfall",NA
"03NE011",2009,1,"snowfall",NA
"03NE011",2009,2,"snowfall",NA
"03NE011",2009,3,"snowfall",NA
"03NE011",2009,4,"snowfall",NA
"03NE011",2009,5,"snowfall",NA
"03NE011",2009,6,"snowfall",NA
"03NE011",2009,7,"snowfall",NA
"03NE011",2009,8,"snowfall",NA
"03NE011",2009,9,"snowfall",NA
"03NE011",2009,10,"snowfall",NA
"03NE011",2009,11,"snowfall",NA
"03NE011",2009,12,"snowfall",NA
"03NE011",2010,1,"snowfall",NA
"03NE011",2010,2,"snowfall",NA
"03NE011",2010,3,"snowfall",NA
"03NE011",2010,4,"snowfall",NA
"03NE011",2010,5,"snowfall",NA
"03NE011",2010,6,"snowfall",NA
"03NE011",2010,7,"snowfall",NA
"03NE011",2010,8,"snowfall",NA
"03NE011",2010,9,"snowfall",NA
"03NE011",2010,10,"snowfall",NA
"03NE011",2010,11,"snowfall",NA
"03NE011",2010,12,"snowfall",NA
"03NE011",2011,1,"snowfall",NA
"03NE011",2011,2,"snowfall",NA
"03NE011",2011,3,"snowfall",NA
"03NE011",2011,4,"snowfall",NA
"03NE011",2011,5,"snowfall",NA
"03NE011",2011,6,"snowfall",NA
"03NE011",2011,7,"snowfall",NA
"03NE011",2011,8,"snowfall",NA
"03NE011",2011,9,"snowfall",NA
"03NE011",2011,10,"snowfall",NA
"03NE011",2011,11,"snowfall",NA
"03NE011",2011,12,"snowfall",NA
"03NE011",2012,1,"snowfall",NA
"03NE011",2012,2,"snowfall",NA
"03NE011",2012,3,"snowfall",NA
"03NE011",2012,4,"snowfall",NA
"03NE011",2012,5,"snowfall",NA
"03NE011",2012,6,"snowfall",NA
"03NE011",2012,7,"snowfall",NA
"03NE011",2012,8,"snowfall",NA
"03NE011",2012,9,"snowfall",NA
"03NE011",2012,10,"snowfall",NA
"03NE011",2012,11,"snowfall",NA
"03NE011",2012,12,"snowfall",NA
"03NE011",2013,1,"snowfall",NA
"03NE011",2013,2,"snowfall",NA
"03NE011",2013,3,"snowfall",NA
"03NE011",2013,4,"snowfall",NA
"03NE011",2013,5,"snowfall",NA
"03NE011",2013,6,"snowfall",NA
"03NE011",2013,7,"snowfall",NA
"03NE011",2013,8,"snowfall",NA
"03NE011",2013,9,"snowfall",NA
"03NE011",2013,10,"snowfall",NA
"03NE011",2013,11,"snowfall",NA
"03NE011",2013,12,"snowfall",NA
"03NE011",2014,1,"snowfall",NA
"03NE011",2014,2,"snowfall",NA
"03NE011",2014,3,"snowfall",NA
"03NE011",2014,4,"snowfall",NA
"03NE011",2014,5,"snowfall",NA
"03NE011",2014,6,"snowfall",NA
"03NE011",2014,7,"snowfall",NA
"03NE011",2014,8,"snowfall",NA
"03NE011",2014,9,"snowfall",NA
"03NE011",2014,10,"snowfall",NA
"03NE011",2014,11,"snowfall",NA
"03NE011",2014,12,"snowfall",NA
"03NE011",2015,1,"snowfall",NA
"03NE011",2015,2,"snowfall",NA
"03NE011",2015,3,"snowfall",NA
"03NE011",2015,4,"snowfall",NA
"03NE011",2015,5,"snowfall",NA
"03NE011",2015,6,"snowfall",NA
"03NE011",2015,7,"snowfall",NA
"03NE011",2015,8,"snowfall",NA
"03NE011",2015,9,"snowfall",NA
"03NE011",2015,10,"snowfall",NA
"03NE011",2015,11,"snowfall",NA
"03NE011",2015,12,"snowfall",NA
"03NE011",2016,1,"snowfall",NA
"03NE011",2016,2,"snowfall",NA
"03NE011",2016,3,"snowfall",NA
"03NE011",2016,4,"snowfall",NA
"03NE011",2016,5,"snowfall",NA
"03NE011",2016,6,"snowfall",NA
"03NE011",2016,7,"snowfall",NA
"03NE011",2016,8,"snowfall",NA
"03NE011",2016,9,"snowfall",NA
"03NE011",2016,10,"snowfall",NA
"03NE011",2016,11,"snowfall",NA
"03NE011",2016,12,"snowfall",NA
"03NE011",2017,1,"snowfall",NA
"03NE011",2017,2,"snowfall",NA
"03NE011",2017,3,"snowfall",NA
"03NE011",2017,4,"snowfall",NA
"03NE011",2017,5,"snowfall",NA
"03NE011",2017,6,"snowfall",NA
"03NE011",2017,7,"snowfall",NA
"03NE011",2017,8,"snowfall",NA
"03NE011",2017,9,"snowfall",NA
"03NE011",2017,10,"snowfall",NA
"03NE011",2017,11,"snowfall",NA
"03NE011",2017,12,"snowfall",NA
"03NE011",2018,1,"snowfall",NA
"03NE011",2018,2,"snowfall",NA
"03NE011",2018,3,"snowfall",NA
"03NE011",2018,4,"snowfall",NA
"03NE011",2018,5,"snowfall",NA
"03NE011",2018,6,"snowfall",NA
"03NE011",2018,7,"snowfall",NA
"03NE011",2018,8,"snowfall",NA
"03NE011",2018,9,"snowfall",NA
"03NE011",2018,10,"snowfall",NA
"03NE011",2018,11,"snowfall",NA
"03NE011",2018,12,"snowfall",NA
"03NE011",2019,1,"snowfall",NA
"03NE011",2019,2,"snowfall",NA
"03NE011",2019,3,"snowfall",NA
"03NE011",2019,4,"snowfall",NA
"03NE011",2019,5,"snowfall",NA
"03NE011",2019,6,"snowfall",NA
"03NE011",2019,7,"snowfall",NA
"03NE011",2019,8,"snowfall",NA
"03NE011",2019,9,"snowfall",NA
"03NE011",2019,10,"snowfall",NA
"03NE011",2019,11,"snowfall",NA
"03NE011",2019,12,"snowfall",NA
"03NE011",2020,1,"snowfall",NA
"03NE011",2020,2,"snowfall",NA
"03NE011",2020,3,"snowfall",NA
"03NE011",2020,4,"snowfall",NA
"03NE011",2020,5,"snowfall",NA
"03NE011",2020,6,"snowfall",NA
"03NE011",2020,7,"snowfall",NA
"03NE011",2020,8,"snowfall",NA
"03NE011",2020,9,"snowfall",NA
"03NE011",2020,10,"snowfall",NA
"03NE011",2020,11,"snowfall",NA
"03NE011",2020,12,"snowfall",NA
"03NE011",2021,1,"snowfall",NA
"03NE011",2021,2,"snowfall",NA
"03NE011",2021,3,"snowfall",NA
"03NE011",2021,4,"snowfall",NA
"03NE011",2021,5,"snowfall",NA
"03NE011",2021,6,"snowfall",NA
"03NE011",2021,7,"snowfall",NA
"03NE011",2021,8,"snowfall",NA
"03NE011",2021,9,"snowfall",NA
"03NE011",2021,10,"snowfall",NA
"03NE011",2021,11,"snowfall",NA
"03NE011",2021,12,"snowfall",NA
"03NE011",2022,1,"snowfall",NA
"03NE011",2022,2,"snowfall",NA
"03NE011",2022,3,"snowfall",NA
"03NE011",2022,4,"snowfall",NA
"03NE011",2022,5,"snowfall",NA
"03NE011",2022,6,"snowfall",NA
"03NE011",2022,7,"snowfall",NA
"03NE011",2022,8,"snowfall",NA
"03NE011",2022,9,"snowfall",NA
"03NE011",2022,10,"snowfall",NA
"03NE011",2022,11,"snowfall",NA
"03NE011",2022,12,"snowfall",NA
"03NE011",2023,1,"snowfall",NA
"03NE011",2023,2,"snowfall",NA
"03NE011",2023,3,"snowfall",NA
"03NE011",2023,4,"snowfall",NA
"03NE011",2023,5,"snowfall",NA
"03NE011",2023,6,"snowfall",NA
"03NE011",2023,7,"snowfall",NA
"03NE011",2023,8,"snowfall",NA
"03NE011",2023,9,"snowfall",NA
"03NE011",2023,10,"snowfall",NA
"03NE011",2023,11,"snowfall",NA
"03NE011",2023,12,"snowfall",NA
"03NE011",2024,1,"snowfall",NA
"03NE011",2024,2,"snowfall",NA
"03NE011",2024,3,"snowfall",NA
"03NE011",2024,4,"snowfall",NA
"03NE011",2024,5,"snowfall",NA
"03NE011",2024,6,"snowfall",NA
"03NE011",2024,7,"snowfall",NA
"03NE011",2024,8,"snowfall",NA
"03NE011",2024,9,"snowfall",NA
"03NE011",2024,10,"snowfall",NA
"03NE011",2024,11,"snowfall",NA
"03NE011",2024,12,"snowfall",NA
"03NE012",1999,1,"snowfall",NA
"03NE012",1999,2,"snowfall",NA
"03NE012",1999,3,"snowfall",NA
"03NE012",1999,4,"snowfall",NA
"03NE012",1999,5,"snowfall",NA
"03NE012",1999,6,"snowfall",NA
"03NE012",1999,7,"snowfall",NA
"03NE012",1999,8,"snowfall",NA
"03NE012",1999,9,"snowfall",NA
"03NE012",1999,10,"snowfall",NA
"03NE012",1999,11,"snowfall",NA
"03NE012",1999,12,"snowfall",NA
"03NE012",2000,1,"snowfall",NA
"03NE012",2000,2,"snowfall",NA
"03NE012",2000,3,"snowfall",NA
"03NE012",2000,4,"snowfall",NA
"03NE012",2000,5,"snowfall",NA
"03NE012",2000,6,"snowfall",NA
"03NE012",2000,7,"snowfall",NA
"03NE012",2000,8,"snowfall",NA
"03NE012",2000,9,"snowfall",NA
"03NE012",2000,10,"snowfall",NA
"03NE012",2000,11,"snowfall",NA
"03NE012",2000,12,"snowfall",NA
"03NE012",2001,1,"snowfall",NA
"03NE012",2001,2,"snowfall",NA
"03NE012",2001,3,"snowfall",NA
"03NE012",2001,4,"snowfall",NA
"03NE012",2001,5,"snowfall",NA
"03NE012",2001,6,"snowfall",NA
"03NE012",2001,7,"snowfall",NA
"03NE012",2001,8,"snowfall",NA
"03NE012",2001,9,"snowfall",NA
"03NE012",2001,10,"snowfall",NA
"03NE012",2001,11,"snowfall",NA
"03NE012",2001,12,"snowfall",NA
"03NE012",2002,1,"snowfall",NA
"03NE012",2002,2,"snowfall",NA
"03NE012",2002,3,"snowfall",NA
"03NE012",2002,4,"snowfall",NA
"03NE012",2002,5,"snowfall",NA
"03NE012",2002,6,"snowfall",NA
"03NE012",2002,7,"snowfall",NA
"03NE012",2002,8,"snowfall",NA
"03NE012",2002,9,"snowfall",NA
"03NE012",2002,10,"snowfall",NA
"03NE012",2002,11,"snowfall",NA
"03NE012",2002,12,"snowfall",NA
"03NE012",2003,1,"snowfall",NA
"03NE012",2003,2,"snowfall",NA
"03NE012",2003,3,"snowfall",NA
"03NE012",2003,4,"snowfall",NA
"03NE012",2003,5,"snowfall",NA
"03NE012",2003,6,"snowfall",NA
"03NE012",2003,7,"snowfall",NA
"03NE012",2003,8,"snowfall",NA
"03NE012",2003,9,"snowfall",NA
"03NE012",2003,10,"snowfall",NA
"03NE012",2003,11,"snowfall",NA
"03NE012",2003,12,"snowfall",NA
"03NE012",2004,1,"snowfall",NA
"03NE012",2004,2,"snowfall",NA
"03NE012",2004,3,"snowfall",NA
"03NE012",2004,4,"snowfall",NA
"03NE012",2004,5,"snowfall",NA
"03NE012",2004,6,"snowfall",NA
"03NE012",2004,7,"snowfall",NA
"03NE012",2004,8,"snowfall",NA
"03NE012",2004,9,"snowfall",NA
"03NE012",2004,10,"snowfall",NA
"03NE012",2004,11,"snowfall",NA
"03NE012",2004,12,"snowfall",NA
"03NE012",2005,1,"snowfall",NA
"03NE012",2005,2,"snowfall",NA
